description,severity
Noise complaint at apartment. Loud music from neighbor.,Low
petty theft at apartment. Non-violent incident occurred.,Moderate
May suspetsado na may stabbing na nagbabanta sa mga tao sa kapitbahayan. Aktibong banta.,Immediate
In-progress stabbing at neighborhood. Emergency response needed.,Immediate
Active baril situation at residential area. Immediate response required.,Immediate
noise report at apartment. For insurance purposes only.,Low
May nangyayaring pumatay sa residential area. Kailangan ng emergency response.,Immediate
"May naiulat na seryosong droga sa kapitbahayan. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
In-progress shooting at school. Emergency response needed.,Immediate
"attack case at community center. Victim rescued, suspects arrested.",High
"disorderly at apartment. Verbal incident, no physical harm.",Moderate
May paglabag sa parking sa kanto. Mali ang pag-park ng sasakyan.,Low
May insidente ng guluhin sa kanto. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May naiulat na seryosong karahasan sa residential area. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
theft disturbance at kanto. Suspect left the area.,Moderate
weapon incident at kanto. Suspect still present and armed.,Immediate
General parking at street corner. No immediate action needed.,Low
May aktibong bomba na krimen sa kanto. Nandiyan pa ang mga suspetsado.,Immediate
"May insidente ng pamamaril sa community center. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"May isyu ng guluhin sa komersyal na distrito. Karaniwang bagay, walang kagyatan.",Moderate
May routine check sa simbahan. Kailangan ng administrative service.,Low
May naiulat na away sa barangay. Maliit na pinsala ang naganap.,Moderate
May reklamo ng ingay sa community center. Maingay na musika mula sa kapitbahay.,Low
May nangyayaring terorista sa barangay. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
In-progress bomb at market. Emergency response needed.,Immediate
Ongoing assault at mall. Multiple victims involved.,Immediate
"maintenance at park. Non-violent incident, low priority.",Low
May naiulat na nawawalang gamit sa barangay. Ibinigay ang gamit para sa pag-iingat.,Low
May ingay sa kapitbahayan. Maliit na halaga ng gamit ang kasama.,Moderate
"Serious bribery reported at neighborhood. Victim hospitalized, investigation ongoing.",High
"May naiulat na seryosong korupsyon sa gusali. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"Serious kidnap reported at kapitbahayan. Victim hospitalized, investigation ongoing.",High
"sexual assault case at commercial district. Victim rescued, suspects arrested.",High
"May gulo sa barangay. Verbal na insidente, walang pisikal na pinsala.",Moderate
May reklamo ng awayin sa simbahan. Walang agarang panganib.,Moderate
harassment complaint at school. No immediate danger.,Moderate
"fight at kapitbahayan. Verbal incident, no physical harm.",Moderate
May paglabag sa parking sa gusali. Mali ang pag-park ng sasakyan.,Low
May insidente ng magnanakaw sa apartment. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May natuklasang korupsyon sa komersyal na distrito. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"vandalism issue at building. Routine matter, no urgency.",Moderate
Suspect with shooting threatening people at apartment. Active threat.,Immediate
May reklamo ng nakawin sa simbahan. Walang agarang panganib.,Moderate
May paglabag sa parking sa kapitbahayan. Mali ang pag-park ng sasakyan.,Low
May naiulat na magnanakaw sa residential area. Maliit na pinsala ang naganap.,Moderate
"smuggling discovered at street corner. Evidence collected, suspect identified.",High
May reklamo ng away sa kapitbahayan. Walang agarang panganib.,Moderate
Active pagpatay situation at residential area. Immediate response required.,Immediate
May suspetsado na may terorista na nagbabanta sa mga tao sa palengke. Aktibong banta.,Immediate
May kotongan na naganap sa gusali. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
May pangkalahatang maliit na paglabag sa apartment. Walang kagyat na aksyon na kailangan.,Low
May sitwasyon ng takutan sa kanto. Kailangan ng pag-aayos ng ari-arian.,Moderate
Active bomba situation at residential area. Immediate response required.,Immediate
May organisadong pusher sa park. Malaking imbestigasyon ang isinasagawa.,High
"May nakaraang droga sa kapitbahayan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"breaking and entering issue at apartment. Routine matter, no urgency.",Moderate
"May natagpuang gamit sa paaralan. Nakuha ang gamit, walang suspetsado.",Low
human trafficking that occurred at neighborhood. Suspects fled before police arrival.,High
"May natuklasang kotongan sa residential area. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May pananakot na kaguluhan sa kapitbahayan. Umalis ang suspetsado sa lugar.,Moderate
"disorderly issue at school. Routine matter, no urgency.",Moderate
kidnap happening now at community center. Victims need immediate help.,Immediate
May nangyayaring pumatay sa community center. Kailangan ng emergency response.,Immediate
May reklamo ng ingay sa community center. Maingay na musika mula sa kapitbahay.,Low
shoplifting incident at kanto. Situation resolved peacefully.,Moderate
"Past smuggling at mall. Suspects at large, investigation needed.",High
May organisadong holdapin sa apartment. Malaking imbestigasyon ang isinasagawa.,High
Organized drug trafficking at neighborhood. Major investigation underway.,High
May routine check sa paaralan. Kailangan ng administrative service.,Low
disorderly reported at mall. Minor damage occurred.,Moderate
May aktibong terorista na nangyayari sa paaralan. Nasa agarang panganib ang biktima.,Immediate
harassment reported at barangay. Minor damage occurred.,Moderate
May nangyayaring bomb sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
loitering situation at building. Property maintenance needed.,Moderate
noise disturbance at mall. Suspect left the area.,Moderate
"extortion case at kanto. Victim rescued, suspects arrested.",High
May ulat ng pag-aayos sa barangay. Para lamang sa insurance.,Low
"May nakaraang pusher sa kanto. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May organisadong kidnapin sa residential area. Malaking imbestigasyon ang isinasagawa.,High
rapein attack in progress at community center. People trapped inside.,Immediate
"noise issue at neighborhood. General inquiry, non-emergency.",Low
May reklamo ng ingay sa palengke. Maingay na musika mula sa kapitbahay.,Low
"Serious drug cartel reported at commercial district. Victim hospitalized, investigation ongoing.",High
"May naiulat na seryosong smugglin sa apartment. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
Ongoing terrorist at market. Multiple victims involved.,Immediate
May aktibong bomba na nangyayari sa community center. Nasa agarang panganib ang biktima.,Immediate
May naganap na pamamaril sa gusali. Nakatakas ang suspetsado.,High
Minor found property at street corner. Routine maintenance needed.,Low
"May pananakot sa barangay. Nakatakas ang suspetsado, walang biktima.",Moderate
fight at building. Non-violent incident occurred.,Moderate
"lost property complaint at commercial district. Routine matter, no urgency.",Low
May gulo sa paaralan. Non-violent na insidente ang naganap.,Moderate
May malaking kaso ng droga sa simbahan. Maraming biktima ang apektado.,High
May aktibong attack na sitwasyon sa simbahan. Kailangan ng agad na tugon.,Immediate
Ongoing pamamaril at kanto. Multiple victims involved.,Immediate
vandalism disturbance at commercial district. Suspect left the area.,Moderate
May aktibong bomba na sitwasyon sa kapitbahayan. Kailangan ng agad na tugon.,Immediate
"parking at park. Minor violation, no threat.",Low
"Past attack at residential area. Suspects at large, investigation needed.",High
May sitwasyon ng away sa barangay. Kailangan ng pag-aayos ng ari-arian.,Moderate
Lost property report at neighborhood. Item turned in for safekeeping.,Low
May pangkalahatang reklamo sa paaralan. Walang kagyat na aksyon na kailangan.,Low
Serious smuggling operation at mall. Significant damage occurred.,High
"May natagpuang gamit sa kanto. Nakuha ang gamit, walang suspetsado.",Low
karahasan in progress at community center. Suspect actively harming victim.,Immediate
"minor violation inquiry at park. Information request, not urgent.",Low
"May isyu ng ingay sa komersyal na distrito. Pangkalahatang tanong, hindi emergency.",Low
"May awayin sa simbahan. Verbal na insidente, walang pisikal na pinsala.",Moderate
"property issue at community center. General inquiry, non-emergency.",Low
"May gulo sa gusali. Nakatakas ang suspetsado, walang biktima.",Moderate
May terorista na nangyayari ngayon sa kanto. Kailangan ng agad na tulong ang mga biktima.,Immediate
"trespassing at residential area. Verbal incident, no physical harm.",Moderate
May naganap na kidnapin sa gusali. Nakatakas ang suspetsado.,High
harassment incident at church. Situation resolved peacefully.,Moderate
May sitwasyon ng away sa barangay. Kailangan ng pag-aayos ng ari-arian.,Moderate
Minor property at residential area. Routine maintenance needed.,Low
May nangyayaring bomba sa community center. Kailangan ng emergency response.,Immediate
May malaking kaso ng kidnapin sa gusali. Maraming biktima ang apektado.,High
May naiulat na nawawalang gamit sa komersyal na distrito. Ibinigay ang gamit para sa pag-iingat.,Low
"disorderly issue at school. Routine matter, no urgency.",Moderate
May ulat ng reklamo sa komersyal na distrito. Para lamang sa insurance.,Low
Parking violation at kapitbahayan. Vehicle parked incorrectly.,Low
May gulo sa kanto. Maliit na halaga ng gamit ang kasama.,Moderate
"extortion incident at community center. Large quantity involved, investigation required.",High
May naganap na pusher sa kapitbahayan. Nakatakas ang suspetsado.,High
"May magnanakaw sa kapitbahayan. Verbal na insidente, walang pisikal na pinsala.",Moderate
May aktibong weapon na krimen sa simbahan. Nandiyan pa ang mga suspetsado.,Immediate
violence happening now at apartment. Victims need immediate help.,Immediate
May nangyayaring rapein sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May insidente ng magnanakaw sa kapitbahayan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
In-progress violence at residential area. Emergency response needed.,Immediate
Serious drug lord operation at kapitbahayan. Significant damage occurred.,High
May hostage na nangyayari ngayon sa community center. Kailangan ng agad na tulong ang mga biktima.,Immediate
"assault case at barangay. Victim rescued, suspects arrested.",High
May sitwasyon ng nakawin sa apartment. Kailangan ng pag-aayos ng ari-arian.,Moderate
May pusher na naganap sa kanto. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"Serious extortion reported at market. Victim hospitalized, investigation ongoing.",High
May suspetsado na may terrorist na nagbabanta sa mga tao sa komersyal na distrito. Aktibong banta.,Immediate
Parking violation at street corner. Vehicle parked incorrectly.,Low
May ulat ng tanong sa palengke. Para lamang sa insurance.,Low
May reklamo ng ingay sa paaralan. Maingay na musika mula sa kapitbahay.,Low
May nakawin na kaguluhan sa residential area. Umalis ang suspetsado sa lugar.,Moderate
May nangyayaring saksakin sa palengke. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
"Past fraud at park. Suspects at large, investigation needed.",High
"Past shooting at church. Suspects at large, investigation needed.",High
May reklamo ng ingay sa mall. Maingay na musika mula sa kapitbahay.,Low
"May kaso ng holdap sa mall. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
"lost property complaint at kapitbahayan. Routine matter, no urgency.",Low
May aktibong kidnapin na sitwasyon sa gusali. Kailangan ng agad na tugon.,Immediate
"May isyu ng takutan sa kanto. Karaniwang bagay, walang kagyatan.",Moderate
"May natagpuang gamit sa apartment. Nakuha ang gamit, walang suspetsado.",Low
Active terrorist happening at community center. Victim in immediate danger.,Immediate
May pangkalahatang tanong sa mall. Walang kagyat na aksyon na kailangan.,Low
General routine at barangay. No immediate action needed.,Low
"May ingay sa kapitbahayan. Maliit na paglabag, walang banta.",Low
"property at school. Non-violent incident, low priority.",Low
"routine issue at kanto. General inquiry, non-emergency.",Low
"May nakaraang kidnapin sa paaralan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"Past drug trafficking at market. Suspects at large, investigation needed.",High
attack in progress at church. Suspect actively harming victim.,Immediate
Active attack happening at mall. Victim in immediate danger.,Immediate
"May insidente ng lagay sa gusali. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
May routine check sa kanto. Kailangan ng administrative service.,Low
May insidente ng kidnap sa palengke. May armas pa ang suspetsado at nandiyan pa.,Immediate
May insidente ng violence sa palengke. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May nakaraang kotongan sa residential area. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"breaking and entering at kapitbahayan. Verbal incident, no physical harm.",Moderate
"Found property at barangay. Item recovered, no suspect.",Low
"May insidente ng lagay sa komersyal na distrito. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
kidnap that occurred at church. Suspects fled before police arrival.,High
Active terrorist crime at market. Suspects still at scene.,Immediate
May nangyayaring bomb sa simbahan. Kailangan ng emergency response.,Immediate
bomba incident at neighborhood. Suspect still present and armed.,Immediate
"drug trafficking incident at market. Large quantity involved, investigation required.",High
assault incident at kanto. Suspect still present and armed.,Immediate
May magnanakaw sa gusali. Maliit na halaga ng gamit ang kasama.,Moderate
"property complaint at barangay. Routine matter, no urgency.",Low
May reklamo ng ingay sa kanto. Maingay na musika mula sa kapitbahay.,Low
disturbance at church. Small value items involved.,Moderate
smuggling occurred at mall. Suspect fled the scene.,High
May malaking kaso ng rapein sa park. Maraming biktima ang apektado.,High
May paglabag sa parking sa apartment. Mali ang pag-park ng sasakyan.,Low
May insidente ng bomba sa park. May armas pa ang suspetsado at nandiyan pa.,Immediate
petty theft complaint at kapitbahayan. No immediate danger.,Moderate
Active baril happening at apartment. Victim in immediate danger.,Immediate
May patuloy na attack sa kanto. Maraming biktima ang kasama.,Immediate
"May natagpuang gamit sa residential area. Non-violent na insidente, mababang priyoridad.",Low
May suspetsado na may weapon na nagbabanta sa mga tao sa simbahan. Aktibong banta.,Immediate
baril attack in progress at mall. People trapped inside.,Immediate
May malaking kaso ng pusher sa barangay. Maraming biktima ang apektado.,High
"May isyu ng tanong sa komersyal na distrito. Pangkalahatang tanong, hindi emergency.",Low
routine report at apartment. For insurance purposes only.,Low
"Past fraud at mall. Suspects at large, investigation needed.",High
Ongoing saksak at mall. Multiple victims involved.,Immediate
May nangyayaring rapein sa kapitbahayan. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
Active rape crime at community center. Suspects still at scene.,Immediate
Noise complaint at neighborhood. Loud music from neighbor.,Low
hostage incident at park. Suspect still present and armed.,Immediate
May karahasan na nangyayari ngayon sa simbahan. Kailangan ng agad na tulong ang mga biktima.,Immediate
Active saksakin crime at church. Suspects still at scene.,Immediate
"drug trafficking incident at neighborhood. Large quantity involved, investigation required.",High
May rapein na nangyayari ngayon sa paaralan. Kailangan ng agad na tulong ang mga biktima.,Immediate
Minor found property at commercial district. Routine maintenance needed.,Low
May reklamo ng takutan sa kapitbahayan. Walang agarang panganib.,Moderate
May magnanakaw sa residential area. Maliit na halaga ng gamit ang kasama.,Moderate
"found property issue at community center. General inquiry, non-emergency.",Low
"May kaso ng holdapin sa park. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
Parking violation at mall. Vehicle parked incorrectly.,Low
May lagayan na naganap sa kapitbahayan. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"May takutan sa palengke. Nakatakas ang suspetsado, walang biktima.",Moderate
rape happening now at neighborhood. Victims need immediate help.,Immediate
"Serious rape reported at neighborhood. Victim hospitalized, investigation ongoing.",High
General question at neighborhood. No immediate action needed.,Low
May aktibong rape na krimen sa apartment. Nandiyan pa ang mga suspetsado.,Immediate
"May natagpuang gamit sa kapitbahayan. Nakuha ang gamit, walang suspetsado.",Low
May nangyayaring bomb sa palengke. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
"May nakaraang smugglin sa apartment. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
Organized smuggling at kapitbahayan. Major investigation underway.,High
vandalism situation at kanto. Property maintenance needed.,Moderate
"May awayin sa simbahan. Verbal na insidente, walang pisikal na pinsala.",Moderate
sexual assault occurred at barangay. Suspect fled the scene.,High
Major human trafficking case at church. Multiple victims affected.,High
May guluhin sa komersyal na distrito. Maliit na halaga ng gamit ang kasama.,Moderate
"May reklamo ng nawawalang gamit sa residential area. Karaniwang bagay, walang kagyatan.",Low
"maintenance complaint at market. Routine matter, no urgency.",Low
"routine at mall. Minor violation, no threat.",Low
May patuloy na weapon sa komersyal na distrito. Maraming biktima ang kasama.,Immediate
May nakaw sa gusali. Non-violent na insidente ang naganap.,Moderate
"May insidente ng kotongan sa kanto. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"Found property at commercial district. Item recovered, no suspect.",Low
Minor property at apartment. Routine maintenance needed.,Low
"May isyu ng karaniwan sa apartment. Pangkalahatang tanong, hindi emergency.",Low
"May nakaraang rapein sa gusali. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"lost property at apartment. Minor violation, no threat.",Low
May gulo sa kanto. Maliit na halaga ng gamit ang kasama.,Moderate
May sitwasyon ng away sa paaralan. Kailangan ng pag-aayos ng ari-arian.,Moderate
property report at park. For insurance purposes only.,Low
"May natagpuang gamit sa kapitbahayan. Nakuha ang gamit, walang suspetsado.",Low
"May insidente ng droga sa gusali. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
May seryosong lagay na operasyon sa park. Malaking pinsala ang naganap.,High
vandalism incident at kanto. Situation resolved peacefully.,Moderate
"parking inquiry at market. Information request, not urgent.",Low
May pag-atake ng baril na nangyayari sa kapitbahayan. Naipit ang mga tao sa loob.,Immediate
May naganap na lagayan sa kapitbahayan. Nakatakas ang suspetsado.,High
fight at church. Small value items involved.,Moderate
Active pagpatay happening at school. Victim in immediate danger.,Immediate
May pag-atake ng pumatay na nangyayari sa park. Naipit ang mga tao sa loob.,Immediate
vandalism situation at street corner. Property maintenance needed.,Moderate
"Past gang violence at kapitbahayan. Suspects at large, investigation needed.",High
"May insidente ng pagpatay sa kapitbahayan. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
pumatay happening now at community center. Victims need immediate help.,Immediate
"Serious bribery reported at school. Victim hospitalized, investigation ongoing.",High
May naganap na holdapin sa palengke. Nakatakas ang suspetsado.,High
"disturbance issue at park. Routine matter, no urgency.",Moderate
May insidente ng ingay sa paaralan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May routine check sa kanto. Kailangan ng administrative service.,Low
harassment at kapitbahayan. Small value items involved.,Moderate
"May natuklasang holdap sa komersyal na distrito. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
Serious kidnap operation at kapitbahayan. Significant damage occurred.,High
"May nawawalang gamit sa residential area. Non-violent na insidente, mababang priyoridad.",Low
May patuloy na pumatay sa kanto. Maraming biktima ang kasama.,Immediate
"breaking and entering at community center. Suspect fled, no victims present.",Moderate
"May reklamo sa palengke. Non-violent na insidente, mababang priyoridad.",Low
"May natagpuang gamit sa komersyal na distrito. Nakuha ang gamit, walang suspetsado.",Low
"Past assault at residential area. Suspects at large, investigation needed.",High
"complaint at street corner. Non-violent incident, low priority.",Low
parking report at mall. For insurance purposes only.,Low
May naiulat na nawawalang gamit sa kapitbahayan. Ibinigay ang gamit para sa pag-iingat.,Low
Parking violation at barangay. Vehicle parked incorrectly.,Low
drug trafficking that occurred at church. Suspects fled before police arrival.,High
"May naiulat na seryosong karahasan sa komersyal na distrito. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
rape attack in progress at building. People trapped inside.,Immediate
May nangyayaring murder sa gusali. Kailangan ng emergency response.,Immediate
theft situation at mall. Property maintenance needed.,Moderate
"May nakaraang kotong sa apartment. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"May isyu ng tanong sa paaralan. Pangkalahatang tanong, hindi emergency.",Low
"Serious kidnap reported at market. Victim hospitalized, investigation ongoing.",High
"question issue at church. General inquiry, non-emergency.",Low
May naiulat na ingay sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
May nakawin na kaguluhan sa palengke. Umalis ang suspetsado sa lugar.,Moderate
theft at residential area. Small value items involved.,Moderate
"May naiulat na seryosong kotong sa gusali. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"petty theft issue at market. Routine matter, no urgency.",Moderate
May nakawin sa barangay. Non-violent na insidente ang naganap.,Moderate
"May nawawalang gamit sa barangay. Maliit na paglabag, walang banta.",Low
Routine check at commercial district. Administrative service needed.,Low
"May naiulat na seryosong pusher sa gusali. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
May maliit na nawawalang gamit sa paaralan. Kailangan ng karaniwang pag-aayos.,Low
"fight at commercial district. Verbal incident, no physical harm.",Moderate
May aktibong rapein na nangyayari sa kanto. Nasa agarang panganib ang biktima.,Immediate
shoplifting at church. Non-violent incident occurred.,Moderate
May naiulat na magnanakaw sa residential area. Maliit na pinsala ang naganap.,Moderate
May aktibong saksak na krimen sa paaralan. Nandiyan pa ang mga suspetsado.,Immediate
Parking violation at school. Vehicle parked incorrectly.,Low
"May reklamo ng ingay sa palengke. Karaniwang bagay, walang kagyatan.",Low
drug dealing occurred at neighborhood. Suspect fled the scene.,High
May paglabag sa parking sa mall. Mali ang pag-park ng sasakyan.,Low
May seryosong karahasan na operasyon sa paaralan. Malaking pinsala ang naganap.,High
"noise issue at market. General inquiry, non-emergency.",Low
May reklamo ng ingay sa palengke. Maingay na musika mula sa kapitbahay.,Low
assault that occurred at building. Suspects fled before police arrival.,High
May ulat ng pag-aayos sa kapitbahayan. Para lamang sa insurance.,Low
Active terrorist happening at park. Victim in immediate danger.,Immediate
Suspect with pamamaril threatening people at park. Active threat.,Immediate
May nangyayaring rape sa park. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
shoplifting reported at street corner. Minor damage occurred.,Moderate
"Found property at apartment. Item recovered, no suspect.",Low
May patuloy na rapein sa simbahan. Maraming biktima ang kasama.,Immediate
May away sa community center. Non-violent na insidente ang naganap.,Moderate
"May natuklasang lagay sa mall. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"bribery incident at market. Large quantity involved, investigation required.",High
property report at building. For insurance purposes only.,Low
Organized shooting at building. Major investigation underway.,High
May routine check sa palengke. Kailangan ng administrative service.,Low
Serious drug trafficking operation at building. Significant damage occurred.,High
"May naiulat na seryosong pagpatay sa mall. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"May tanong tungkol sa ingay sa kanto. Hiling ng impormasyon, hindi kagyatan.",Low
Active bomba situation at residential area. Immediate response required.,Immediate
May insidente ng bomb sa residential area. May armas pa ang suspetsado at nandiyan pa.,Immediate
May gulo sa barangay. Maliit na halaga ng gamit ang kasama.,Moderate
"Past corruption at kapitbahayan. Suspects at large, investigation needed.",High
In-progress baril at neighborhood. Emergency response needed.,Immediate
violence in progress at residential area. Suspect actively harming victim.,Immediate
"inquiry issue at street corner. General inquiry, non-emergency.",Low
breaking and entering at kanto. Non-violent incident occurred.,Moderate
"maintenance issue at kanto. General inquiry, non-emergency.",Low
inquiry report at street corner. For insurance purposes only.,Low
hostage happening now at market. Victims need immediate help.,Immediate
May paglabag sa parking sa residential area. Mali ang pag-park ng sasakyan.,Low
"May nawawalang gamit sa simbahan. Maliit na paglabag, walang banta.",Low
"May naiulat na seryosong pagpatay sa kapitbahayan. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
Active rapein situation at church. Immediate response required.,Immediate
Active weapon situation at commercial district. Immediate response required.,Immediate
Ongoing bomb at commercial district. Multiple victims involved.,Immediate
May seryosong holdapin na operasyon sa mall. Malaking pinsala ang naganap.,High
May nangyayaring kidnap sa community center. Kailangan ng emergency response.,Immediate
Minor parking at park. Routine maintenance needed.,Low
May maliit na natagpuang gamit sa kapitbahayan. Kailangan ng karaniwang pag-aayos.,Low
property report at street corner. For insurance purposes only.,Low
General found property at market. No immediate action needed.,Low
maintenance report at kanto. For insurance purposes only.,Low
Serious bribery operation at kapitbahayan. Significant damage occurred.,High
"May takutan sa barangay. Nakatakas ang suspetsado, walang biktima.",Moderate
"May natagpuang gamit sa residential area. Nakuha ang gamit, walang suspetsado.",Low
"May nakawin sa mall. Verbal na insidente, walang pisikal na pinsala.",Moderate
May nangyayaring pamamaril sa barangay. Kailangan ng emergency response.,Immediate
Ongoing shooting at market. Multiple victims involved.,Immediate
"Found property at park. Item recovered, no suspect.",Low
May aktibong rape na krimen sa mall. Nandiyan pa ang mga suspetsado.,Immediate
May seryosong holdapin na operasyon sa community center. Malaking pinsala ang naganap.,High
"May kaso ng pamamaril sa komersyal na distrito. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
trespassing incident at community center. Situation resolved peacefully.,Moderate
"noise at commercial district. Verbal incident, no physical harm.",Moderate
"property inquiry at park. Information request, not urgent.",Low
"Serious extortion reported at commercial district. Victim hospitalized, investigation ongoing.",High
Noise complaint at mall. Loud music from neighbor.,Low
May organisadong karahasan sa kapitbahayan. Malaking imbestigasyon ang isinasagawa.,High
"Past fraud at street corner. Suspects at large, investigation needed.",High
"May natagpuang gamit sa park. Nakuha ang gamit, walang suspetsado.",Low
"May pananakot sa palengke. Verbal na insidente, walang pisikal na pinsala.",Moderate
petty theft reported at neighborhood. Minor damage occurred.,Moderate
"drug trafficking incident at apartment. Large quantity involved, investigation required.",High
May nakawin sa park. Non-violent na insidente ang naganap.,Moderate
Organized robbery at market. Major investigation underway.,High
May naiulat na gulo sa community center. Maliit na pinsala ang naganap.,Moderate
"gang violence discovered at park. Evidence collected, suspect identified.",High
May routine check sa apartment. Kailangan ng administrative service.,Low
May aktibong kidnap na nangyayari sa simbahan. Nasa agarang panganib ang biktima.,Immediate
"assault incident at kanto. Large quantity involved, investigation required.",High
May pag-atake ng pamamaril na nangyayari sa barangay. Naipit ang mga tao sa loob.,Immediate
terorista attack in progress at market. People trapped inside.,Immediate
bomb attack in progress at apartment. People trapped inside.,Immediate
"May nakaraang kotongan sa simbahan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
Noise complaint at commercial district. Loud music from neighbor.,Low
May routine check sa kanto. Kailangan ng administrative service.,Low
"May isyu ng magnanakaw sa palengke. Karaniwang bagay, walang kagyatan.",Moderate
"minor violation at street corner. Non-violent incident, low priority.",Low
Organized bribery at market. Major investigation underway.,High
May naiulat na nawawalang gamit sa gusali. Ibinigay ang gamit para sa pag-iingat.,Low
May aktibong baril na krimen sa barangay. Nandiyan pa ang mga suspetsado.,Immediate
May nangyayaring gun sa gusali. Kailangan ng emergency response.,Immediate
May reklamo ng takutan sa mall. Walang agarang panganib.,Moderate
May naganap na kotongan sa residential area. Nakatakas ang suspetsado.,High
May pangkalahatang natagpuang gamit sa gusali. Walang kagyat na aksyon na kailangan.,Low
May gulo sa gusali. Non-violent na insidente ang naganap.,Moderate
Parking violation at park. Vehicle parked incorrectly.,Low
"May reklamo sa apartment. Maliit na paglabag, walang banta.",Low
May naganap na pamamaril sa paaralan. Nakatakas ang suspetsado.,High
Parking violation at market. Vehicle parked incorrectly.,Low
Noise complaint at market. Loud music from neighbor.,Low
"May nakaraang korupsyon sa residential area. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May naiulat na nawawalang gamit sa residential area. Ibinigay ang gamit para sa pag-iingat.,Low
May reklamo ng away sa mall. Walang agarang panganib.,Moderate
"murder discovered at school. Evidence collected, suspect identified.",High
extortion that occurred at barangay. Suspects fled before police arrival.,High
May reklamo ng ingay sa simbahan. Maingay na musika mula sa kapitbahay.,Low
"general issue at barangay. General inquiry, non-emergency.",Low
May ulat ng reklamo sa park. Para lamang sa insurance.,Low
"vandalism at church. Suspect fled, no victims present.",Moderate
"May away sa community center. Nakatakas ang suspetsado, walang biktima.",Moderate
May gulo sa simbahan. Non-violent na insidente ang naganap.,Moderate
Parking violation at park. Vehicle parked incorrectly.,Low
"May natagpuang gamit sa kanto. Nakuha ang gamit, walang suspetsado.",Low
May nangyayaring kidnap sa kanto. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
disturbance reported at commercial district. Minor damage occurred.,Moderate
"May guluhin sa komersyal na distrito. Nakatakas ang suspetsado, walang biktima.",Moderate
Major kidnap case at park. Multiple victims affected.,High
Active rape situation at park. Immediate response required.,Immediate
May rapein na naganap sa residential area. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
Ongoing stabbing at park. Multiple victims involved.,Immediate
"assault incident at church. Large quantity involved, investigation required.",High
May pangkalahatang tanong sa komersyal na distrito. Walang kagyat na aksyon na kailangan.,Low
"routine complaint at market. Routine matter, no urgency.",Low
petty theft reported at school. Minor damage occurred.,Moderate
"parking violation issue at apartment. Routine matter, no urgency.",Moderate
"Past corruption at market. Suspects at large, investigation needed.",High
Major fraud case at street corner. Multiple victims affected.,High
"sexual assault incident at park. Large quantity involved, investigation required.",High
"Past kidnap at school. Suspects at large, investigation needed.",High
